customer_id,age,income,spending_score,credit_score,account_balance,transaction_count,avg_transaction,online_purchases,in_store_purchases,membership_months,churned
1,25,35000,68,620,1200,45,85,32,13,6,0
2,34,52000,42,710,4500,28,120,15,13,24,0
3,45,78000,35,750,12000,52,180,20,32,48,0
4,23,28000,78,580,800,62,45,55,7,3,1
5,56,92000,25,780,25000,35,320,10,25,60,0
6,31,41000,55,650,2100,48,92,38,10,12,0
7,28,38000,72,610,950,58,68,48,10,4,1
8,42,67000,38,720,8500,42,165,22,20,36,0
9,19,22000,82,550,450,72,32,62,10,2,1
10,38,55000,45,690,5200,38,145,25,13,18,0
11,52,85000,30,760,18000,45,280,15,30,54,0
12,27,36000,65,630,1500,52,78,42,10,8,0
13,33,48000,48,680,3800,35,125,28,7,15,0
14,21,25000,75,570,620,65,42,52,13,3,1
15,47,72000,32,740,10500,48,195,18,30,42,0
16,29,40000,58,645,1800,55,88,40,15,10,0
17,36,58000,40,705,6200,40,155,22,18,28,0
18,24,30000,70,595,900,60,55,50,10,5,1
19,55,88000,28,770,22000,38,295,12,26,58,0
20,32,45000,52,665,2800,45,105,32,13,14,0
21,41,63000,36,715,7800,44,170,20,24,32,0
22,26,34000,67,615,1100,54,72,45,9,7,0
23,20,24000,80,560,520,68,38,58,10,2,1
24,48,75000,33,745,11500,46,188,16,30,45,0
25,30,42000,54,655,2300,50,95,35,15,11,0
26,37,56000,42,695,5800,42,148,24,18,25,0
27,22,27000,76,585,720,62,48,52,10,4,1
28,50,82000,29,765,16000,40,265,14,26,52,0
29,35,50000,46,675,4200,38,135,28,10,20,0
30,43,68000,37,725,9200,45,175,20,25,38,0
31,18,20000,85,540,380,75,28,65,10,1,1
32,54,90000,26,775,20000,36,305,11,25,56,0
33,39,60000,44,700,6800,43,160,23,20,30,0
34,25,33000,69,605,1050,56,75,44,12,6,1
35,46,73000,34,742,10800,47,185,17,30,44,0
36,28,39000,60,640,1650,53,85,40,13,9,0
37,33,47000,50,670,3500,40,118,30,10,16,0
38,40,62000,39,712,7200,44,165,21,23,33,0
39,23,29000,74,590,780,63,52,50,13,4,1
40,51,84000,28,768,17500,42,275,13,29,53,0
41,29,41000,56,648,2000,52,90,38,14,11,0
42,44,70000,35,735,9800,46,178,19,27,40,0
43,31,44000,53,660,2600,47,102,34,13,13,0
44,27,37000,64,625,1300,55,80,43,12,7,0
45,49,80000,30,762,14500,44,255,15,29,50,0
46,36,54000,43,688,5000,41,140,26,15,22,0
47,24,31000,71,600,880,58,58,48,10,5,1
48,53,87000,27,772,19000,37,290,12,25,55,0
49,38,57000,41,698,6000,43,152,24,19,26,0
50,21,26000,77,575,680,64,45,54,10,3,1
